Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
97,Rodentia,Muridae,Cremnomys elvira,"Large Rock-rat, Elvira Rat",CR,9.532109427,5.127017354,None,Asia,India (Tamil Nadu),,http://www.iucnredlist.org/apps/redlist/details/5514/0
98,Rodentia,Muridae,Millardia kondana,"Kondana Rat, Kondana Soft-furred Rat, Large Metad",CR,9.299543578,5.104688304,None,Asia,India (Maharashtra),,http://www.iucnredlist.org/apps/redlist/details/13524/0
99,Rodentia,Muridae,Crateromys australis,"Dinagat Crateromys, Dinagat Bushy-tailed Cloud Rat, Dinagat Hairy-tailed Cloud Rat, Dinagat Island Cloud Rat",CR,9.257893072,5.100636187,None,Asia,Philippines,,http://www.iucnredlist.org/apps/redlist/details/5499/0
100,Carnivora,Viverridae,Viverra civettina,"Malabar Civet, Malabar Large-spotted Civet",CR,9.189373539,5.09393409,None,Asia,India ,,http://www.iucnredlist.org/details/23036/0
101,,,Habromys chinanteco,Chinanteco Deer Mouse,CR,9.169551079,5.09198679,,,,,
102,,,Amblysomus marleyi,Marley's Golden Mole,EN,19.23849603,5.087028077,,,,,
103,,,Bunomys coelestis,"Lampobatang Bunomys, Heavenly Hill Rat",CR,9.083989433,5.083537684,,,,,
104,,,Sus cebifrons,Visayan Warty Pig,CR,9.036471414,5.078814322,,,,,
105,,,Porcula salvania,Pygmy Hog,CR,9.024418572,5.077612696,,,,,
106,,,Habromys delicatulus,Delicate Deer Mouse,CR,9.022422631,5.077413568,,,,,
107,,,Cynogale bennettii,"Otter Civet, Otter-civet, Sunda Otter Civet",EN,19.04332022,5.077337484,,,,,
108,,,Ailurus fulgens,"Red Panda, Lesser Panda, Red Cat-bear, Tolai Hare",VU,38.74083135,5.068673518,,,,,
109,,,Balaenoptera borealis,"Sei Whale, Coalfish Whale, Pollack Whale, Rudophi's Rorqual",EN,18.82083176,5.066175035,,,,,
110,,,Tomopeas ravus,Blunt-eared Bat,VU,38.63515477,5.066010832,,,,,
111,,,Pteralopex pulchra,Montane Monkey-faced Bat,CR,8.904973548,5.065625732,,,,,
112,,,Habromys ixtlani,Ixtlán Deer Mouse,CR,8.862041112,5.061281879,,,,,
113,,,Habromys lepturus,"Slender Tailed Deer Mouse, Slender-tailed Deer Mouse",CR,8.862041112,5.061281879,,,,,
114,,,Avahi occidentalis,"Lorenz Von Liburnau's Woolly Lemur, Western Avahi, Western Woolly Lemur",EN,18.68489693,5.05929323,,,,,
115,,,Procyon pygmaeus,"Pygmy Raccoon, Cozumel Island Raccoon, Cozumel Raccoon, Cozumel Raccoon Bears",CR,8.804048912,5.055384177,,,,,
116,,,Lagostrophus fasciatus,"Banded Hare Wallaby, Banded Hare-wallaby, Munning",EN,18.58275332,5.054090788,,,,,
117,,,Solomys ponceleti,"Poncelet's Giant Rat, Poncelet's Naked-tailed Rat",CR,8.77670026,5.052590753,,,,,
